0
glass_blur,1.1761395e-08
rot270,3.2471555e-06
rot90,5.0541535e-06
impulse_noise,0.0028286697
random_crop,0.0040480085
pixelate,0.030885365
motion_blur,0.031278536
color_jitter,0.03208055
gaussian_noise,0.039533548
zoom_blur,0.042530634
saturate,0.05275319
elastic_transform,0.0662887
jpeg_compression,0.09000386
brightness,0.111759245
contrast,0.11324682
flip,0.11573373
speckle_noise,0.12962364
defocus_blur,0.13092501
gaussian_blur,0.1335457
shot_noise,0.13718413
snow,0.3775357
fog,0.400454
spatter,0.52945894
1
speckle_noise,0.00010712638
shot_noise,0.0005828924
color_jitter,0.0012078207
spatter,0.0020276646
impulse_noise,0.0026393675
snow,0.010924831
saturate,0.011355955
gaussian_noise,0.018457891
random_crop,0.027832104
pixelate,0.034844697
jpeg_compression,0.041590128
fog,0.048866328
flip,0.08987856
gaussian_blur,0.09401329
defocus_blur,0.09438602
motion_blur,0.09971216
brightness,0.10125872
contrast,0.105876535
zoom_blur,0.12787116
elastic_transform,0.14734659
rot90,0.30070633
rot270,0.44274396
glass_blur,0.98523337
2
rot270,5.8486155e-08
rot90,6.963419e-08
glass_blur,2.5807176e-07
speckle_noise,0.00024450253
random_crop,0.00033667564
shot_noise,0.0005969942
gaussian_noise,0.0007675203
zoom_blur,0.006732616
elastic_transform,0.009014338
color_jitter,0.011321592
motion_blur,0.03363452
impulse_noise,0.040961765
contrast,0.050614133
fog,0.074818954
brightness,0.0897394
pixelate,0.09713546
flip,0.09794753
defocus_blur,0.10081644
gaussian_blur,0.10120519
spatter,0.12342222
saturate,0.17149328
jpeg_compression,0.18297021
snow,0.20768316
3
rot270,2.4324254e-09
rot90,2.7734186e-09
glass_blur,8.5160515e-08
speckle_noise,0.00021798164
shot_noise,0.00052267086
gaussian_noise,0.0015732491
random_crop,0.0015909387
color_jitter,0.0035779139
saturate,0.01769297
zoom_blur,0.019647678
spatter,0.03242777
jpeg_compression,0.04491993
motion_blur,0.067796156
fog,0.069467746
impulse_noise,0.07091287
snow,0.07268434
gaussian_blur,0.10125054
defocus_blur,0.1014487
contrast,0.10510456
brightness,0.111254685
flip,0.12178282
elastic_transform,0.13607189
pixelate,0.3027536
4
glass_blur,6.0123284e-08
rot90,1.7652306e-05
rot270,1.9581248e-05
speckle_noise,8.285383e-05
shot_noise,0.00017633892
gaussian_noise,0.0008295676
random_crop,0.0013402031
elastic_transform,0.015700294
zoom_blur,0.026027802
snow,0.03934725
spatter,0.0402582
fog,0.04035108
contrast,0.045322772
color_jitter,0.05373168
pixelate,0.06355715
brightness,0.086209536
gaussian_blur,0.08692326
defocus_blur,0.087864265
flip,0.09352944
motion_blur,0.15852521
saturate,0.18058193
jpeg_compression,0.46302924
impulse_noise,0.6447525
5
glass_blur,1.0015045e-08
rot270,2.9956266e-07
rot90,3.4380042e-07
speckle_noise,0.00018257847
shot_noise,0.00027697434
gaussian_noise,0.0011716486
random_crop,0.003045136
zoom_blur,0.015771596
spatter,0.017709471
saturate,0.024556972
snow,0.02656436
jpeg_compression,0.03145369
impulse_noise,0.04213004
fog,0.044770602
contrast,0.08273757
elastic_transform,0.08439868
brightness,0.09530712
defocus_blur,0.09794089
gaussian_blur,0.0981833
flip,0.10681215
motion_blur,0.10700799
color_jitter,0.11676952
pixelate,0.1573714
6
rot270,1.7086207e-12
rot90,1.8940188e-12
glass_blur,2.3379865e-10
speckle_noise,8.784534e-06
gaussian_noise,1.1486855e-05
shot_noise,1.9257226e-05
random_crop,0.0002835802
color_jitter,0.004506211
jpeg_compression,0.0059626577
spatter,0.009110239
snow,0.009357202
zoom_blur,0.012159738
elastic_transform,0.029172327
fog,0.06363927
motion_blur,0.06458105
contrast,0.07612609
gaussian_blur,0.092201345
defocus_blur,0.09365253
impulse_noise,0.10135852
brightness,0.110380664
flip,0.13862951
pixelate,0.25060624
saturate,0.42168015
7
glass_blur,3.0258484e-08
speckle_noise,2.592785e-05
shot_noise,5.0097813e-05
gaussian_noise,0.00014285573
spatter,0.0037276023
snow,0.0053912057
impulse_noise,0.009092112
zoom_blur,0.01893507
elastic_transform,0.0206964
saturate,0.023935528
jpeg_compression,0.02438484
random_crop,0.025191303
pixelate,0.025600184
fog,0.040831458
color_jitter,0.043467455
flip,0.06728113
contrast,0.07409911
motion_blur,0.07820957
brightness,0.08956083
gaussian_blur,0.09115694
defocus_blur,0.091549575
rot90,0.19758528
rot270,0.20899628
8
glass_blur,1.1745434e-08
jpeg_compression,0.0030225692
pixelate,0.0139891105
random_crop,0.027250972
saturate,0.040678564
motion_blur,0.06395265
flip,0.06639091
elastic_transform,0.076654986
impulse_noise,0.08215656
contrast,0.08999304
brightness,0.097277135
defocus_blur,0.10673341
gaussian_blur,0.10763947
fog,0.1308068
zoom_blur,0.16298573
rot270,0.20770079
spatter,0.23950632
snow,0.24032718
rot90,0.28482687
color_jitter,0.6903368
shot_noise,0.8555508
speckle_noise,0.86746985
gaussian_noise,0.8861744
9
speckle_noise,0.0020367682
spatter,0.002351679
impulse_noise,0.0031674826
shot_noise,0.005039794
snow,0.010184699
glass_blur,0.014766131
pixelate,0.023256773
color_jitter,0.04300047
gaussian_noise,0.051337924
saturate,0.055271637
fog,0.085993834
gaussian_blur,0.093880944
defocus_blur,0.09468299
flip,0.10201419
brightness,0.107252695
jpeg_compression,0.11266299
rot270,0.14053576
rot90,0.2168585
contrast,0.2568794
motion_blur,0.29530218
elastic_transform,0.4146558
zoom_blur,0.567338
random_crop,0.90908116
